Date, Time, Lat, Lon, Speed Data (miles/hour), Elevation (m)
2024-09-12, 08:09:10, 45.522660511458476, -122.6618738919296, 25.96, 18.77
2024-09-12, 08:09:11, 45.52259021533161, -122.66187460081647, 17.87, 18.71
2024-09-12, 08:09:12, 45.522423383653404, -122.66187624670586, 17.34, 18.73
2024-09-12, 08:09:13, 45.52225878710415, -122.66187754619783, 17.85, 18.26
2024-09-12, 08:09:14, 45.52217164394832, -122.66187838037739, 17.91, 17.77
2024-09-12, 08:09:15, 45.52208281367764, -122.66187933116775, 16.52, 17.24
2024-09-12, 08:09:16, 45.52195741269956, -122.66188024857138, 20.06, 16.84
2024-09-12, 08:09:17, 45.52185336741737, -122.66188100973734, 19.38, 17.18
2024-09-12, 08:09:18, 45.52173360085484, -122.66188189920409, 18.69, 16.26
2024-09-12, 08:09:19, 45.52148051521283, -122.66188338920037, 21.78, 16.19
2024-09-12, 08:09:20, 45.52133610918692, -122.66188456100967, 21.66, 15.94
2024-09-12, 08:09:21, 45.521236485088906, -122.6618850952557, 22.64, 15.44
2024-09-12, 08:09:22, 45.52113901265381, -122.66188562521076, 22.52, 15.00
2024-09-12, 08:09:23, 45.5210481068227, -122.66188611947149, 22.18, 14.46
2024-09-12, 08:09:24, 45.520961332129275, -122.66188704351816, 21.73, 14.14
2024-09-12, 08:09:25, 45.520877147157506, -122.66188781723133, 21.28, 13.64
2024-09-12, 08:09:26, 45.52079188459901, -122.66188860083749, 20.94, 13.71
2024-09-12, 08:09:27, 45.52071124226241, -122.66188934197812, 20.15, 13.85
2024-09-12, 08:09:28, 45.520632045334786, -122.66189006577166, 19.96, 13.79
2024-09-12, 08:09:29, 45.5205559059553, -122.66189076367964, 19.55, 13.41
2024-09-12, 08:09:30, 45.52048410939266, -122.66189142177585, 18.97, 13.34
2024-09-12, 08:09:31, 45.520414882681635, -122.66189205632054, 18.27, 13.10
2024-09-12, 08:09:32, 45.52034956430298, -122.66189265503228, 17.74, 13.29
2024-09-12, 08:09:34, 45.52023498004641, -122.66189263763317, 16.50, 13.10
2024-09-12, 08:09:35, 45.52015657795517, -122.66189263763505, 17.58, 13.00
2024-09-12, 08:09:36, 45.52008867437983, -122.66185954161783, 17.20, 12.55
2024-09-12, 08:09:37, 45.52001680431069, -122.66183995784313, 16.88, 12.23
2024-09-12, 08:09:38, 45.51995105371419, -122.66184669720599, 15.73, 12.02
2024-09-12, 08:09:40, 45.51985479779387, -122.66184796580627, 12.45, 11.96
2024-09-12, 08:09:42, 45.51977033488381, -122.66184550764204, 10.69, 11.90
2024-09-12, 08:09:44, 45.51969839263104, -122.66189117002938, 9.14, 11.97
